school,region,pct_eds,spg_score,enrollment,spg_grade
Cape Fear Middle,Southeast,71.4,51.0,456.0,D
Manteo High School,Northeast,40.0,79.0,549.0,B
Yates Mill Elementary,North Central,57.4,60.0,485.0,C
St James Elementary,Southwest,28.6,73.0,647.0,B
Cartoogechaye Elementary,Western,61.9,62.0,347.0,C
East Middle,Sandhills,85.6,47.0,441.0,D
School of Inquiry and Life Sciences,Western,33.0,81.0,338.0,B
Marie G Davis School,Southwest,76.1,40.0,365.0,D
Gaston Virtual Academy,Southwest,57.6,58.0,417.0,C
South Greenville Elementary,Northeast,89.4,44.0,276.0,D
Wiley Elementary,North Central,42.4,64.0,368.0,C
Henderson County Early College,Western,47.7,96.0,201.0,A
Topsail Annandale Elementary School,Southeast,15.9,85.0,626.0,A
Kimmel Farm Elementary,Piedmont Triad,62.6,41.0,792.0,D
A L Stanback Middle,North Central,58.9,53.0,648.0,D
Zebulon Middle,North Central,67.9,55.0,706.0,C
Northwoods Park Middle,Southeast,53.3,55.0,683.0,C
Tyrrell Elementary,Northeast,59.5,62.0,172.0,C
Southeast Raleigh Elementary,North Central,72.9,41.0,357.0,D
Western Harnett High,North Central,59.6,56.0,1321.0,C
Vaughan Academy of Technology,Southwest,62.6,60.0,324.0,C
Isaac M Bear Early College High School,Southeast,18.4,94.0,223.0,A
Hamlet Middle,Sandhills,70.5,61.0,419.0,C
Fall Creek Elementary,Piedmont Triad,54.2,72.0,220.0,B
Hendersonville Elementary,Western,33.1,80.0,330.0,B
North Topsail Elementary,Southeast,27.0,77.0,578.0,B
George Watts Elementary,North Central,31.0,76.0,272.0,B
Pinewood Elementary,Southwest,57.7,71.0,464.0,B
Greene Central High,Southeast,61.6,58.0,742.0,C
Guilford eLearning University Prep,Piedmont Triad,17.9,44.0,501.0,D
Wakefield Elementary,North Central,51.4,66.0,486.0,C
Maiden Elementary,Northwest,61.0,66.0,482.0,C
White Oak High,Southeast,47.5,61.0,1162.0,C
Pleasant Union Elementary,North Central,18.8,79.0,551.0,B
Atlantic Elementary,Southeast,52.9,72.0,74.0,B
Dixon Road Elementary,North Central,45.2,75.0,594.0,B
Selma Elementary,North Central,66.7,49.0,724.0,D
Highland Creek Elementary,Southwest,37.0,70.0,454.0,B
Edwin A Alderman Elementary,Southeast,68.7,57.0,285.0,C
Blackburn Elementary,Northwest,57.3,63.0,518.0,C
Onslow Virtual School,Southeast,50.6,62.0,424.0,C
Highland Middle,North Central,65.5,49.0,856.0,D
Camden Early College High,Northeast,16.3,89.0,141.0,A
North Edgecombe High,North Central,68.9,53.0,218.0,D
Joyner Elementary,North Central,29.8,63.0,518.0,C
Holly Shelter Middle,Southeast,49.1,68.0,855.0,C
Clara J Peck Elementary,Piedmont Triad,77.1,53.0,249.0,D
Sanford Creek Elementary,North Central,36.4,67.0,606.0,C
Northwest Halifax Collegiate and Technic,Northeast,71.9,41.0,315.0,D
Clayton High,North Central,42.2,64.0,1943.0,C
Seagrove Elementary School,Piedmont Triad,69.6,62.0,337.0,C
Brunswick County Early College,Southeast,37.8,93.0,348.0,A
Career Academy and Technical School,Southwest,13.6,48.0,119.0,D
Brassfield Elementary,North Central,39.0,70.0,602.0,B
Oberlin Middle,North Central,32.4,71.0,1081.0,B
Saint Stephens Elementary,Northwest,79.6,38.0,705.0,F
Root Elementary,North Central,34.2,74.0,443.0,B
Reynolds Middle,Western,60.5,63.0,478.0,C
Creekside Elementary,Southeast,29.1,78.0,497.0,B
Lexington Middle School,Piedmont Triad,72.8,45.0,648.0,D
Gray's Creek High,Sandhills,42.7,70.0,1350.0,B
Carolina Forest Elementary,Southeast,49.7,65.0,671.0,C
Rosman Elementary,Western,72.0,66.0,333.0,C
Rolesville Middle,North Central,37.9,54.0,1039.0,D
McDowell Academy for Innovation,Northwest,52.7,95.0,111.0,A
E M Rollins Elementary,North Central,79.6,42.0,275.0,D
Charles H. Parker Academic Center,Southwest,44.4,67.0,486.0,C
C Wayne Collier Elementary,Sandhills,62.2,48.0,473.0,D
Columbus Career and College Academy ,Sandhills,47.3,64.0,241.0,C
Craven Virtual Academy,Southeast,8.5,62.0,116.0,C
South Toe Elementary,Northwest,65.7,72.0,106.0,B
East Burke Middle,Northwest,70.9,65.0,648.0,C
Harold E. Winkler Middle,Southwest,42.9,68.0,861.0,C
Marion Elementary School,Northwest,75.2,69.0,335.0,C
Pinehurst Elementary,Sandhills,18.1,85.0,628.0,A
P W Moore Elementary,Northeast,75.3,51.0,345.0,D
Mineral Springs Elementary,Piedmont Triad,78.1,37.0,546.0,F
Roanoke Rapids Early College High,Northeast,37.3,80.0,121.0,B
Surry Early College,Piedmont Triad,58.4,87.0,294.0,A
Watauga High,Northwest,32.7,82.0,1236.0,B
Trent Park Elementary,Southeast,66.0,62.0,393.0,C
Pickett Elementary School,Piedmont Triad,76.1,52.0,392.0,D
W P Grier Middle School,Southwest,71.7,37.0,613.0,F
Lumberton Senior High,Sandhills,60.2,61.0,1836.0,C
Highcroft Elementary,North Central,7.5,91.0,731.0,A
Traphill Elementary School,Northwest,61.5,55.0,78.0,C
North Davidson Middle,Piedmont Triad,43.6,69.0,702.0,C
Ronald E. McNair Elementary,Piedmont Triad,65.2,47.0,433.0,D
Connect Academy,Sandhills,39.1,69.0,302.0,C
Roaring River Elementary School,Northwest,54.8,53.0,160.0,D
Robert L. Patton High School,Northwest,55.2,77.0,741.0,B
Ashley Academy,Piedmont Triad,84.0,42.0,374.0,D
Porter Ridge Middle School,Southwest,40.4,76.0,1300.0,B
Petree Elementary,Piedmont Triad,80.5,38.0,424.0,F
Providence Spring Elementary,Southwest,5.0,89.0,599.0,A
Meadowview Magnet Middle,Piedmont Triad,74.9,64.0,347.0,C
Union Elementary,Southwest,78.3,53.0,401.0,D
Davie County High,Piedmont Triad,42.5,67.0,1712.0,C
Bartlett Yancey High,Piedmont Triad,64.0,51.0,651.0,D
East Gaston High,Southwest,48.6,69.0,855.0,C
William T Brown Elementary,Sandhills,75.3,45.0,559.0,D
B F Grady Elementary,Southeast,53.1,44.0,845.0,D
Koontz Intermediate,Western,51.0,56.0,651.0,C
Pembroke Middle,Sandhills,70.1,47.0,696.0,D
John W Dillard Academy,Piedmont Triad,65.1,49.0,271.0,D
Leesville Road Elementary,North Central,29.8,70.0,599.0,B
Enka Middle,Western,65.1,52.0,606.0,D
Valmead Elementary,Northwest,86.6,28.0,276.0,F
Murphy Elementary,Western,57.0,61.0,496.0,C
PSRC Early College at RCC,Sandhills,45.0,92.0,220.0,A
Lufkin Road Middle,North Central,32.0,73.0,1001.0,B
