school,region,locale,spg_score,pct_eds
J Glenn Edwards Elementary,North Central,Town,55.0,73.4
Swansboro Elementary,Southeast,City,71.0,34.6
Chicod,Northeast,Rural,81.0,37.1
Vanceboro-Farm Life Elementary,Southeast,Town,51.0,63.4
Gaston Early College of Medical Sciences,Southwest,Suburb,95.0,54.1
Wiley Accel/Enrichment,Piedmont Triad,City,33.0,79.1
Southside Ashpole Elementary,Sandhills,Rural,36.0,76.2
Williamsburg Elementary,Piedmont Triad,Town,53.0,65.9
Carson High,Southwest,Rural,64.0,47.1
Alston Ridge Middle,North Central,City,84.0,19.4
Midway Middle,Sandhills,Rural,65.0,49.2
Wesley Chapel Elementary,Southwest,Rural,89.0,15.4
Claremont Elementary,Northwest,Rural,59.0,73.6
Swann Middle School,Piedmont Triad,City,42.0,62.6
Middle College at GTCC-Greensboro,Piedmont Triad,City,83.0,48.8
Sadie Saulter,Northeast,Rural,60.0,53.5
Bunn High,North Central,Rural,66.0,60.7
Silk Hope School,North Central,Rural,62.0,53.1
Heritage Elementary School ,Southeast,City,56.0,53.5
Southeast Raleigh High,North Central,City,53.0,72.6
Anderson Creek Primary,North Central,Rural,47.0,62.2
McAlpine Elementary,Southwest,City,73.0,31.7
Spring Hope Elementary,North Central,Rural,47.0,73.9
Frederick Douglass Elementary,North Central,Rural,64.0,70.6
Bill Hefner Elementary,Sandhills,City,52.0,60.2
Parkwood High,Southwest,Rural,74.0,43.3
West Greene Elementary,Southeast,Rural,49.0,71.0
Richlands High,Southeast,City,69.0,40.8
Sunny View Elementary School,Western,Rural,63.0,64.5
Pine Forest High,Sandhills,City,72.0,61.5
North Forsyth High,Piedmont Triad,City,45.0,69.2
Pines Elementary,Northeast,Rural,50.0,84.3
Riverwood Middle,North Central,Rural,51.0,43.4
Wiley Magnet Middle,Piedmont Triad,City,39.0,60.9
Eastern Randolph High School,Piedmont Triad,Rural,51.0,67.5
Belvoir Elementary,Northeast,Rural,46.0,67.6
Parkside Elementary,North Central,City,80.0,17.2
Scotland Neck Elementary Leadership Acad,Northeast,Rural,31.0,76.2
Princeton Elementary,North Central,Rural,69.0,60.3
McKee Road Elementary,Southwest,City,82.0,22.4
Roland-Grise Middle,Southeast,City,70.0,33.3
Forest Hills Middle,North Central,Rural,58.0,75.4
Springfield Middle,North Central,Rural,67.0,56.8
Yadkin Early College,Piedmont Triad,Rural,89.0,40.7
